epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.5703,1.92002,3.65216,1.61193,0.02895,0.29741,0.21017,0.08427,1.51255,3.64202,1.34548,0.00010003,0.00010003,0.00010003
2,160.301,1.48396,2.97804,1.31235,0.03675,0.3268,0.24072,0.14159,1.12919,3.32048,1.10331,0.000210106,0.000210106,0.000210106
3,237.922,1.40561,2.1277,1.20259,0.2288,0.41693,0.35814,0.20866,1.24076,2.98787,1.14435,0.000315655,0.000315655,0.000315655
4,314.813,1.31577,1.60886,1.18735,0.91354,0.28034,0.52556,0.3914,1.05997,2.56655,1.09065,0.000416676,0.000416676,0.000416676
5,395.402,1.25387,1.36503,1.13782,0.85948,0.31623,0.65917,0.47809,1.05602,2.28133,1.08759,0.000513171,0.000513171,0.000513171
6,467.606,1.20897,1.21416,1.12279,0.78154,0.53105,0.79293,0.57891,1.05706,1.78576,1.09971,0.000605139,0.000605139,0.000605139
7,529.289,1.15684,1.11784,1.10662,0.8035,0.6005,0.82989,0.60336,1.02659,1.70172,1.10455,0.000692579,0.000692579,0.000692579
8,590.176,1.10338,1.06765,1.09145,0.78608,0.64834,0.8093,0.58861,1.04338,1.6383,1.12447,0.000775493,0.000775493,0.000775493
9,647.655,1.09583,1.03562,1.09429,0.73069,0.63523,0.75783,0.55545,1.05142,1.60327,1.11842,0.000853879,0.000853879,0.000853879
10,704.158,1.04442,0.98716,1.07431,0.75239,0.61207,0.79837,0.58933,1.00322,1.56418,1.1058,0.000927738,0.000927738,0.000927738
11,760.187,1.03833,0.9783,1.07907,0.81405,0.71731,0.82389,0.60396,1.03075,1.43826,1.138,0.00099707,0.00099707,0.00099707
12,816.104,0.98736,0.92569,1.0534,0.84226,0.73545,0.83665,0.61554,1.004,1.3462,1.12896,0.00106188,0.00106188,0.00106188
13,872.603,0.98011,0.92511,1.05501,0.85106,0.77717,0.84441,0.63327,0.98633,1.23314,1.1046,0.00108947,0.00108947,0.00108947
14,929.363,0.98902,0.89851,1.04621,0.85717,0.78663,0.8578,0.68111,0.85099,1.00573,1.03078,0.00106118,0.00106118,0.00106118
15,990.271,0.93247,0.87293,1.03975,0.85615,0.81742,0.85999,0.65489,0.93217,1.00851,1.04614,0.00103288,0.00103288,0.00103288
16,1051.04,0.9611,0.88405,1.03208,0.85044,0.82419,0.86377,0.69517,0.79721,0.977,1.00594,0.00100459,0.00100459,0.00100459
17,1113.01,0.94552,0.86107,1.02792,0.8675,0.82631,0.86196,0.68462,0.84487,1.01125,1.0132,0.000976293,0.000976293,0.000976293
18,1174.35,0.92522,0.83874,1.01944,0.88074,0.83853,0.87493,0.68793,0.82678,0.97688,0.99782,0.000947999,0.000947999,0.000947999
19,1235.31,0.90051,0.80681,1.00796,0.84764,0.85171,0.87256,0.6912,0.79448,0.95284,0.98476,0.000919704,0.000919704,0.000919704
